time;PWV APEX;PWV UCSC;Humedad;Temperatura
1693159260;0.984816022;0.880190622;12.19166667;-1.483333333
1693170060;1.132314778;1.078795389;15.01333333;-0.759444444
1693180860;1.219988267;1.1230944;17.25666667;-3.18
1693191660;1.005084011;0.911941539;19.88666667;-6.866111111
1693202460;0.928541706;0.845102594;27.76888889;-9.215555556
1693213260;0.792431194;0.709930467;23.25333333;-8.438333333
1693224060;1.187960694;1.144499128;39.62222222;-8.287222222
1693234860;1.586349094;1.500320783;45.49444444;-4.555
1693245660;1.680891556;1.537448217;36.52944444;-1.9
1693256460;1.671841039;1.543933144;29.02944444;-1.275555556
1693267260;1.422903417;1.374810706;31.78666667;-3.991111111
1693278060;1.166932728;1.158318644;32.37777778;-6.797222222
1693288860;1.071849967;1.001689678;38.64444444;-6.835
1693299660;0.882211317;0.781408089;43.02277778;-8.613333333
1693310460;0.691164583;0.57399525;43.8;-9.186111111
1693321260;0.72350585;0.641465006;30.38666667;-5.053888889
1693332060;0.803357217;0.732992589;12.68;-0.770555556
1693342860;1.149459828;1.090241861;15.50444444;0.243333333
1693353660;1.455844422;1.364846111;22.86777778;-2.587777778
1693364460;1.269578811;1.126687411;31.27277778;-6.446111111
1693375260;1.190915933;1.029849756;34.12777778;-7.274444444
1693386060;1.228556406;1.143158456;31.195;-8.507222222
1693396860;1.295750806;1.253318428;24.915;-7.062777778
1693407660;1.237760517;1.169704878;13.73388889;-3.457777778
1693418460;1.21549195;1.142112839;7.293333333;-0.631111111
1693429260;1.332503606;1.257192067;11.96555556;-0.178333333
1693440060;1.417121694;1.331314439;19.43111111;-2.598333333
1693450860;1.296587361;1.189519533;20.94722222;-4.33
1693461660;1.218181889;1.130302172;17.01611111;-4.169444444
1693472460;1.12215405;1.027399522;16.32611111;-3.94
1693483260;1.175684806;1.097374533;17.76777778;-4.248333333
1693494060;1.252949817;1.171700928;14.33444444;-0.772222222
1693504860;1.368317794;1.274462117;11.97055556;1.507222222
1693515660;1.499014717;1.408523367;12.18888889;1.045555556
1693526460;1.781374922;1.587548994;21.04833333;-2.759444444
1693537260;1.614762861;1.445154022;28.41444444;-5.661666667
1693548060;1.588376456;1.452409683;26.75833333;-6.794444444
1693558860;1.350699444;1.208216289;29.53;-7.471666667
1693569660;1.0079103;0.895688061;42.93777778;-9.027777778
1693580460;0.647281394;0.596078533;23.92277778;-3.673333333
1693591260;0.701395967;0.684173906;16.64611111;-1.24
1693602060;1.152492189;1.161441094;22.39444444;-0.938333333
1693612860;1.164756489;1.089422428;28.62111111;-4.687777778
1693623660;0.836626311;0.712266122;34.76111111;-8.084444444
1693634460;0.550315467;0.460347028;27.91666667;-8.31
1693645260;0.495188622;0.3792308;21.21611111;-7.393333333
1693656060;0.417922089;0.281092878;18.32611111;-7.408333333
1693666860;0.441319828;0.3487977;17.66777778;-3.881111111
1693677660;0.5059516;0.503497439;12.65666667;-0.805555556
1693688460;1.065845372;1.130924822;21.35111111;-1.548333333
1693699260;1.035922522;1.147932411;35.22666667;-5.681666667
1693710060;0.762768783;0.622695428;51.91222222;-8.868333333
1693720860;0.706361839;0.522792639;48.65444444;-9.986111111
1693731660;0.700622544;0.525898239;40.445;-10.89277778
1693742460;1.026374672;0.855208717;43.93611111;-10.38611111
1693753260;1.136227378;0.979166544;38.05333333;-6.512777778
1693764060;1.758550594;1.620182;25.16777778;-2.145555556
1693774860;2.324867561;2.143581689;20.52055556;-3.371666667
1693785660;2.289112989;2.100383422;19.97222222;-8.97
1693796460;0.636854783;1.571330211;22.045;-6.333333333
1693807260;0.4420478;1.374445672;8.433888889;-4.412222222
1693818060;0.4341541;0.552807706;7.763888889;-4.716666667
1693828860;0.394787322;0.550198922;11.44;-4.835
1693839660;0.363032161;0.648025161;6.157222222;-1.741666667
1693850460;0.356766394;0.716968944;4.225555556;0.531666667
1693861260;0.388227511;1.373622089;5.249444444;-0.043888889
1693872060;0.576478161;1.246045811;10.86944444;-2.870555556
1693882860;0.9848459;0.856631561;18.44388889;-6.321111111
1693893660;0.753427928;0.675306378;16.17;-7.095555556
1693904460;0.669161833;0.600162328;15.43833333;-7.323333333
1693915260;0.604054056;0.542076639;13.11277778;-8.296111111
1693926060;0.607544211;0.544759833;11.31388889;-2.275
1693936860;0.631521161;0.598852794;9.353333333;1.035
1693947660;0.684807911;0.671064739;9.025;1.566666667
1693958460;0.6646585;0.633583133;11.70055556;-1.507222222
1693969260;0.504971172;0.46056515;16.92388889;-5.595555556
1693980060;0.666378328;0.613195167;21.48111111;-7.353333333
1693990860;0.646385828;0.575154806;18.43666667;-7.491666667
1694001660;0.653063389;0.570696389;13.95944444;-7.631666667
1694012460;0.927542967;0.816497411;7.869444444;-1.792777778
1694023260;1.005220894;0.911958822;8.031666667;0.318888889
1694034060;0.956742617;0.879534283;8.915;0.011666667
1694044860;0.9645414;0.884156328;13.09833333;-4.352777778
1694055660;1.176002378;1.08582795;20.95055556;-8.605555556
1694066460;1.084131656;0.964746794;21.71222222;-9.617777778
1694077260;0.993797328;0.856665394;19.28388889;-9.904444444
1694088060;0.988320644;0.884363194;18.09722222;-9.668333333
1694098860;1.040332344;0.968208639;15.40333333;-5.627777778
1694109660;0.875017844;0.780530683;13.81888889;-3.103333333
1694120460;0.798701683;0.749914328;10.61555556;-2.261111111
1694131260;0.982273611;0.938232817;18.02222222;-4.578333333
1694142060;1.088501889;0.962615239;41.16055556;-8.212777778
1694152860;1.310441983;1.264558561;36.90833333;-9.783888889
1694163660;0.802859683;0.707560456;29.22777778;-10.14444444
1694174460;0.915331711;0.823552611;27.77555556;-10.82166667
1694185260;1.1093879;1.021484672;15.84333333;-5.622777778
1694196060;1.1885555;1.105241356;12.27777778;-3.244444444
1694206860;1.332189072;1.233695989;13.97666667;-2.136111111
1694217660;1.409272911;1.337656983;18.67;-4.994444444
1694228460;0.831095222;0.734625883;22.55833333;-7.959444444
1694239260;0.734812317;0.625767211;24.25166667;-8.523888889
1694250060;0.643882372;0.549381922;22.47611111;-7.92
1694260860;0.63028405;0.531926006;16.10222222;-6.826666667
1694271660;0.654832317;0.558673778;9.602222222;-2.332222222
1694282460;0.902469428;0.802775444;8.172222222;0.835555556
1694293260;0.969291306;0.878007778;7.409444444;0.834444444
1694304060;1.258881983;1.184269083;11.80833333;-1.829444444
